"LSOA21CD","RGN23NM","BSC_Blue_withgaps_withLondon","BSC_Blue_withgaps_noLondon","BSC_Blue_nogaps_withLondon","BSC_Blue_nogaps_noLondon","BSC_BlueProximate_withgaps_withLondon","BSC_BlueProximate_withgaps_noLondon","BSC_BlueProximate_nogaps_withLondon","BSC_BlueProximate_nogaps_noLondon","BGC_Blue_withgaps_withLondon","BGC_Blue_withgaps_noLondon","BGC_Blue_nogaps_withLondon","BGC_Blue_nogaps_noLondon","BGC_BlueProximate_withgaps_withLondon","BGC_BlueProximate_withgaps_noLondon","BGC_BlueProximate_nogaps_withLondon","BGC_BlueProximate_nogaps_noLondon"
"E01000145","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000146","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000147","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000150","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000151","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000152","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000153","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000154","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000156","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000157","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000158","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000159","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000160","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000161","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000162","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000163","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000164","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000165","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000166","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000167","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000168","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000169","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000170","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000171","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000172","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000173","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000174","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000175","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000176","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000177","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000178","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000179","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000180","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000181","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000182","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000183","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000184","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000185","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000186","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000187","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000188","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000189","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000190","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000191","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000192","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000193","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000194","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000195","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000196","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000197","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000198","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000199","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000200","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000201","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000202","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000203","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000204","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000205","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000206","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000207","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000208","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000209","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000210","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000211","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000212","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000213","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000214","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000215","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000216","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000217","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000218","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000219","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000220","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000221","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000222","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000223","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000224","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000225","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
